"Time","Line","tsNs","id","traceid","app","container","detected_level","instance","job","namespace","node_name","pod","service_name"
1776813784917,"2026-04-22 05:53:04 ERROR    {transferId=01KPS5N0K4SDAMW3PZXP47KVGS} http-nio-3003-exec-68:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:516:(doConfirmationForTransfer) - Transfer Error Response from orange system to payee cc for transferId 01KPS5N0K4SDAMW3PZXP47KVGS : {""exec_code"":""-1004"",""exec_msg"":""API Call execution failed"",""resultset"":{""TXNID"":""CI260421.2323.B79983""}}
",1776813784917673558,1776813784917673558_a4c185d1,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-wfwkt:mojaloop-core-connector,/,orange,ip-10-230-2-218,orange-mojaloop-core-connector-5f9c8cc997-wfwkt,mojaloop-core-connector
1776803260044,"2026-04-22 02:57:40 ERROR    {transferId=01KPRVJXPTK4ZJ73HGYDJW4JVX} http-nio-3003-exec-26:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:516:(doConfirmationForTransfer) - Transfer Error Response from orange system to payee cc for transferId 01KPRVJXPTK4ZJ73HGYDJW4JVX : {""exec_code"":""-1004"",""exec_msg"":""API Call execution failed"",""resultset"":{""TXNID"":""CI260421.2027.C71127""}}
",1776803260044257564,1776803260044257564_a108391a,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-wfwkt:mojaloop-core-connector,/,orange,ip-10-230-2-218,orange-mojaloop-core-connector-5f9c8cc997-wfwkt,mojaloop-core-connector
1776800141705,"2026-04-22 02:05:41 ERROR    {transferId=01KPRRMESDTH7703S6PZV09ZSP} http-nio-3003-exec-60:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:516:(doConfirmationForTransfer) - Transfer Error Response from orange system to payee cc for transferId 01KPRRMESDTH7703S6PZV09ZSP : {""exec_code"":""-1004"",""exec_msg"":""Unknown MSISDN""}
",1776800141705061897,1776800141705061897_d08a1d04,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-wfwkt:mojaloop-core-connector,/,orange,ip-10-230-2-218,orange-mojaloop-core-connector-5f9c8cc997-wfwkt,mojaloop-core-connector
1776795805843,"2026-04-22 00:53:25 ERROR    {transferId=01KPRMGCMT7B043YQB42SBZEPJ} http-nio-3003-exec-60:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:516:(doConfirmationForTransfer) - Transfer Error Response from orange system to payee cc for transferId 01KPRMGCMT7B043YQB42SBZEPJ : {""exec_code"":""-1004"",""exec_msg"":""Unknown MSISDN""}
",1776795805843420837,1776795805843420837_d5d3b0e5,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-pll9c:mojaloop-core-connector,/,orange,ip-10-230-4-234,orange-mojaloop-core-connector-5f9c8cc997-pll9c,mojaloop-core-connector
1776785807629,"2026-04-21 22:06:47 ERROR    {transferId=01KPRAZ6K41H87AR0NW77ABBMY} http-nio-3003-exec-68:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:516:(doConfirmationForTransfer) - Transfer Error Response from orange system to payee cc for transferId 01KPRAZ6K41H87AR0NW77ABBMY : {""exec_code"":""-1004"",""exec_msg"":""API Call execution failed"",""resultset"":{""TXNID"":""CI260421.1536.A75427""}}
",1776785807629493175,1776785807629493175_84e5f665,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-pll9c:mojaloop-core-connector,/,orange,ip-10-230-4-234,orange-mojaloop-core-connector-5f9c8cc997-pll9c,mojaloop-core-connector
1776766692104,"2026-04-21 16:48:12 ERROR    {transferId=01KPQRQWNQWGV5K49V2WFSF6NG} http-nio-3003-exec-67:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:516:(doConfirmationForTransfer) - Transfer Error Response from orange system to payee cc for transferId 01KPQRQWNQWGV5K49V2WFSF6NG : {""exec_code"":""-1004"",""exec_msg"":""API Call execution failed"",""resultset"":{""TXNID"":""CI260421.1018.C37863""}}
",1776766692104754269,1776766692104754269_931c3572,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-pll9c:mojaloop-core-connector,/,orange,ip-10-230-4-234,orange-mojaloop-core-connector-5f9c8cc997-pll9c,mojaloop-core-connector
