"Time","Line","tsNs","id","traceid","app","container","detected_level","instance","job","namespace","node_name","pod","service_name"
1777041670653,"2026-04-24 21:11:10 ERROR    {transferId=01KPZYZM641RQMSFZA8T7CS98V} http-nio-3003-exec-71:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:516:(doConfirmationForTransfer) - Transfer Error Response from orange system to payee cc for transferId 01KPZYZM641RQMSFZA8T7CS98V : {""exec_code"":""-1004"",""exec_msg"":""API Call execution failed"",""resultset"":{}}
",1777041670653455655,1777041670653455655_57a2ceac,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-wfwkt:mojaloop-core-connector,/,orange,ip-10-230-2-218,orange-mojaloop-core-connector-5f9c8cc997-wfwkt,mojaloop-core-connector
1777038196307,"2026-04-24 20:13:16 ERROR    {transferId=01KPZVNBZD1ZE23010WDEPFGZY} http-nio-3003-exec-67:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:516:(doConfirmationForTransfer) - Transfer Error Response from orange system to payee cc for transferId 01KPZVNBZD1ZE23010WDEPFGZY : {""exec_code"":""-1004"",""exec_msg"":""API Call execution failed"",""resultset"":{}}
",1777038196307473464,1777038196307473464_aaaf13dc,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-wfwkt:mojaloop-core-connector,/,orange,ip-10-230-2-218,orange-mojaloop-core-connector-5f9c8cc997-wfwkt,mojaloop-core-connector
1777038892394,"2026-04-24 20:24:52 ERROR    {transferId=01KPZWAMKYC5EG31SGQQGEED47} http-nio-3003-exec-60:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:516:(doConfirmationForTransfer) - Transfer Error Response from orange system to payee cc for transferId 01KPZWAMKYC5EG31SGQQGEED47 : {""exec_code"":""-1004"",""exec_msg"":""API Call execution failed"",""resultset"":{}}
",1777038892394356427,1777038892394356427_c4980a39,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-pll9c:mojaloop-core-connector,/,orange,ip-10-230-4-234,orange-mojaloop-core-connector-5f9c8cc997-pll9c,mojaloop-core-connector
1777036732667,"2026-04-24 19:48:52 ERROR    {transferId=01KPZT8Y0HQ0RVG0S5KNA7QXJE} http-nio-3003-exec-64:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:516:(doConfirmationForTransfer) - Transfer Error Response from orange system to payee cc for transferId 01KPZT8Y0HQ0RVG0S5KNA7QXJE : {""exec_code"":""-1004"",""exec_msg"":""API Call execution failed"",""resultset"":{}}
",1777036732667312141,1777036732667312141_ab70f4d9,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-pll9c:mojaloop-core-connector,/,orange,ip-10-230-4-234,orange-mojaloop-core-connector-5f9c8cc997-pll9c,mojaloop-core-connector
1777028738046,"2026-04-24 17:35:38 ERROR    {transferId=01KPZJM0RYXGKFG2GSKC3FB02T} http-nio-3003-exec-38:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:516:(doConfirmationForTransfer) - Transfer Error Response from orange system to payee cc for transferId 01KPZJM0RYXGKFG2GSKC3FB02T : {""exec_code"":""-1004"",""exec_msg"":""API Call execution failed"",""resultset"":{}}
",1777028738046570413,1777028738046570413_ad9a7f0c,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-pll9c:mojaloop-core-connector,/,orange,ip-10-230-4-234,orange-mojaloop-core-connector-5f9c8cc997-pll9c,mojaloop-core-connector
1777022819935,"2026-04-24 15:56:59 ERROR    {transferId=01KPZD034NG61YB3PFKHXHFTBE} http-nio-3003-exec-65:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:516:(doConfirmationForTransfer) - Transfer Error Response from orange system to payee cc for transferId 01KPZD034NG61YB3PFKHXHFTBE : {""exec_code"":""-1004"",""exec_msg"":""API Call execution failed"",""resultset"":{}}
",1777022819935327772,1777022819935327772_36568dc2,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-pll9c:mojaloop-core-connector,/,orange,ip-10-230-4-234,orange-mojaloop-core-connector-5f9c8cc997-pll9c,mojaloop-core-connector
